gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,target
Female,0,Yes,56,Yes,Yes,Fiber optic,Month-to-month,110,0
Female,0,No,63,Yes,No,DSL,Month-to-month,59,0
Female,0,No,53,Yes,No,DSL,One year,94,0
Male,0,Yes,72,Yes,No,DSL,Month-to-month,114,0
Male,0,No,9,Yes,No,DSL,Month-to-month,76,0
Male,0,No,37,Yes,No,Fiber optic,Month-to-month,70,0
Female,0,No,39,No,No,DSL,Month-to-month,51,1
Male,0,Yes,71,Yes,No,DSL,Two year,105,0
Female,0,Yes,10,No,No,DSL,One year,40,0
Female,0,Yes,39,Yes,Yes,Fiber optic,One year,20,0
Male,1,No,14,Yes,Yes,Fiber optic,Month-to-month,20,0
Female,0,Yes,52,Yes,No,Fiber optic,Month-to-month,20,0
Female,1,No,15,Yes,No,Fiber optic,Month-to-month,75,1
Male,0,Yes,21,Yes,No,DSL,Two year,104,1
Female,0,Yes,52,Yes,Yes,DSL,Month-to-month,25,0
Female,0,No,1,Yes,Yes,Fiber optic,Month-to-month,44,1
Male,0,No,3,Yes,Yes,Fiber optic,Month-to-month,69,1
Male,0,No,2,Yes,No,DSL,One year,55,1
Male,0,Yes,63,No,No,DSL,Two year,41,0
Male,0,No,32,Yes,No,DSL,Month-to-month,88,0
Female,0,No,71,No,Yes,Fiber optic,Two year,47,0
Female,1,No,38,Yes,Yes,Fiber optic,Month-to-month,75,1
Female,0,No,5,Yes,Yes,Fiber optic,Month-to-month,25,0
Male,0,No,72,Yes,Yes,Fiber optic,One year,101,0
Female,0,No,35,Yes,No,DSL,Two year,85,1
Male,0,No,70,Yes,Yes,Fiber optic,Month-to-month,77,0
Female,0,No,30,Yes,No,DSL,Month-to-month,94,0
Male,1,No,71,Yes,Yes,DSL,Two year,25,0
Male,0,No,72,Yes,No,DSL,One year,99,0
Male,0,Yes,13,No,No,Fiber optic,Month-to-month,41,0
Male,0,Yes,25,Yes,No,Fiber optic,Month-to-month,62,0
Male,0,Yes,60,Yes,Yes,Fiber optic,Month-to-month,74,0
Female,1,No,49,Yes,No,Fiber optic,Month-to-month,102,0
Female,0,Yes,15,Yes,Yes,DSL,Two year,76,0
Male,0,No,34,Yes,No,DSL,Month-to-month,20,0
Male,0,Yes,71,Yes,No,DSL,Month-to-month,100,0
Female,0,No,70,Yes,No,DSL,One year,114,0
Female,0,Yes,70,Yes,No,Fiber optic,Month-to-month,24,0
Female,0,Yes,1,Yes,Yes,DSL,Two year,102,1
Male,0,Yes,1,Yes,No,Fiber optic,Month-to-month,45,0
Male,1,No,3,Yes,No,DSL,One year,95,0
Male,0,No,1,Yes,No,DSL,Month-to-month,19,1
Female,0,Yes,60,Yes,No,Fiber optic,One year,19,0
Male,0,No,72,Yes,Yes,Fiber optic,Month-to-month,24,0
Female,1,No,57,Yes,No,DSL,One year,70,0
Female,0,No,35,Yes,No,DSL,Month-to-month,19,0
Female,0,No,72,Yes,Yes,DSL,One year,117,0
